category,strategy,solver,n_iters,converged,wall_time,final_pos_err_mm,final_orient_err_deg
general,cold,CCD,10,True,0.14817285537719727,3.9893804,99.85775756835938
general,cold,CCD,11,True,0.1387629508972168,2.1966417,100.75171661376953
general,cold,CCD,7,True,0.08396387100219727,3.4327006,172.86856079101562
general,cold,CCD,5,True,0.06065249443054199,4.0220637,73.26826477050781
general,cold,CCD,14,True,0.17248225212097168,4.6836877,142.28492736816406
general,cold,CCD,11,True,0.14818167686462402,3.826787,167.10198974609375
general,cold,CCD,9,True,0.12188196182250977,3.978549,158.25897216796875
general,cold,CCD,4,True,0.05332827568054199,0.3328132,85.75684356689453
general,cold,CCD,5,True,0.06071829795837402,0.4937753,153.17062377929688
general,cold,CCD,7,True,0.08627033233642578,2.3662024,148.46583557128906
general,cold,CCD,7,True,0.09128761291503906,4.0979424,168.20907592773438
